,volatility_annual,volatility_5d_latest,volatility_5d_mean,volatility_5d_max,volatility_10d_latest,volatility_10d_mean,volatility_10d_max,max_drawdown,max_dd_duration,sharpe_ratio,sortino_ratio,return_mean_annual,return_skewness,return_kurtosis,positive_days_pct,var_95,cvar_95
KUA,0.109864523259062,0.1529106720484,0.10306073682636199,0.1529106720484,0.11921011712208593,0.0993663034851954,0.11921011712208593,0.017718339641863055,11,3.590620996857364,6.772752687012038,0.3944818640237122,-0.5847657685439683,-0.40927490642950337,55.55555555555556,0.007909252507466885,0.01414449384965355
KZL,0.15016063833757032,0.10252642179577462,0.14062435529888398,0.1890101391925349,0.15501029541197586,0.143652958118215,0.15501029541197586,0.027209635806738037,3,4.737791042247308,10.780147308171829,0.7114297272138783,0.3288722431811321,-0.18195713069526542,66.66666666666666,0.010912386697456488,0.012571649580289335
KAV,0.03885850473806219,0.029655265822963652,0.03804396949618731,0.05310252979542852,0.03858431148519424,0.03939154625612767,0.042816059541206514,0.003253943348796186,3,6.887623318591542,16.56597969517718,0.267642743359477,0.05554052546046297,-0.3116426134578387,66.66666666666666,0.0030077614423118237,0.00325394334879614
KDL,0.013876787943054058,0.01462821479667968,0.013184916806450495,0.016430092421633527,0.013083751907399965,0.012391210438485298,0.014243802911533748,0.0002826269615117766,1,12.779683984687358,167.31976667960822,0.17734096463475058,1.3109964144887312,0.4496410740831642,88.88888888888889,7.801643063304868e-05,0.00028262696151182265
KTR,0.011196282777911688,0.012732669264886374,0.012928359612323692,0.0130206252732929,0.012185936486734382,0.012195938629584754,0.012223504841479505,0.0,0,31.21387799373574,,0.3494794046131,1.6665634281705453,1.1260814579201837,100.0,0.0009901067136663055,0.0009848770081075653
KTM,0.06314611338059872,0.08215509696355335,0.06322937081170457,0.08215509696355335,0.06401312163246543,0.06003554641940226,0.06558251510507061,0.0067536535250252066,3,7.683630571119686,16.889041573471403,0.48519140721855814,-0.7352329618337741,-0.6695697906169751,66.66666666666666,0.0034944741031237374,0.006753653525025216
KCV,0.03863456985066571,0.05105735042167183,0.036135153738230334,0.054268201906101314,0.044252329898428575,0.04045707685163641,0.04666994759448221,0.003156416460839977,4,12.926707321924782,40.832115956792116,0.49941777696801487,-0.5572095034247038,-0.8688867957141531,72.22222222222221,0.001513494421326693,0.0030353921016617047
KDE,0.04474082852285069,0.05196836722729877,0.042122459782571745,0.05196836722729877,0.043913190646697506,0.04178555863541123,0.047808840369390614,0.003913138762938553,4,8.35246085226665,19.632338328325876,0.3736960187350855,-0.2526127080133424,-0.38008978185073605,72.22222222222221,0.003624411355781909,0.003913138762938528
KUD,0.09899029847693333,0.13718482664572385,0.09532236343305119,0.13718482664572385,0.10365065162315525,0.09064028943376386,0.1047228377276354,0.012475564330243815,7,5.863620455299394,10.951124310024635,0.5804415390255386,-0.9141597105732095,0.03837418828239114,66.66666666666666,0.006760106572640129,0.012475564330243771
KTT,0.014661260839893159,0.014647922181864882,0.01384442298432113,0.01838657095530754,0.012920268336613328,0.012952580255261588,0.015435617665024055,6.288093907006167e-05,1,15.464650642029415,954.1019204168156,0.22673127686061445,1.2261780534067317,0.4131974980905939,88.88888888888889,2.0790239054579957e-05,6.288093907003134e-05
KNJ,0.0741055176648116,0.05312703824942815,0.06466472969820407,0.11546350314120571,0.04336995114594255,0.07518148273664811,0.08774012412522408,0.02297252268416465,13,0.3462715517827427,0.5034853369411862,0.025660632597457766,-0.8259301717123764,1.747127629899457,66.66666666666666,0.007360937172819289,0.011974408536030379
KGM,0.27314296553061707,0.3685164232078442,0.26764248729498674,0.3685164232078442,0.30878871277925174,0.2585781207885039,0.30878871277925174,0.018703086130528155,2,12.053109083512796,43.17959238497419,3.292221958934703,-0.06206303776567244,-1.0064003826342915,77.77777777777779,0.00941522051652706,0.01870308613052818
KZU,0.1539424659774565,0.11744752344974402,0.14165532854382526,0.1842829311344676,0.16390300725593737,0.14455444906715664,0.16390300725593737,0.03086028496399596,4,4.196474441054291,9.355291926903258,0.6460156238672661,0.35490202824323486,-0.24804097534809655,61.111111111111114,0.011253414171271653,0.011269444538363649
KIK,0.06821973890309077,0.04619278129845304,0.05949689203369968,0.08808612512221232,0.05059438891989326,0.06808448728867332,0.08016350855643853,0.021550769895337378,13,1.2496921302301556,2.136169911234473,0.08525367083354851,-0.2979876590303716,-0.8529078812672042,66.66666666666666,0.005351176698434321,0.008006731522061883
KPU,0.11122335662802744,0.07435195128703266,0.10021474107569159,0.1476057112393348,0.07617788601597862,0.10488726700378387,0.13174956976141033,0.014246814405614126,7,8.696807091261595,18.68490962804504,0.9672880766365466,-0.6450382373461734,-0.1947211300863243,77.77777777777779,0.009397754626361183,0.00956183269650901
KPA,0.11549403026469277,0.14323349667701554,0.10112253579798702,0.1468440216012258,0.1068647069338091,0.09706339816721653,0.1174910513348181,0.015382723446892078,11,4.331000798941247,10.04638612307553,0.5002047373493288,0.26105244477315886,-0.8364266362586972,61.111111111111114,0.007901963674198952,0.00926554929750567
KPD,0.02064324051142699,0.03212338209658955,0.015784205570277227,0.03212338209658955,0.023881238823939843,0.014894227489206439,0.023881238823939843,0.0031162044829295744,1,9.025319179004262,16.00231515576531,0.18631183450457978,-1.2300289832556657,3.754568610650053,83.33333333333334,0.000524453297830627,0.0031162044829295965
KTS,0.13169635133340604,0.18753943055610978,0.1215118460936854,0.18868923318255865,0.13328622762389775,0.11632598336839754,0.14049728809516865,0.01940880409855491,12,3.201114689750724,5.22083034914437,0.4215751248399384,-0.8582891999484688,0.3746715067399333,72.22222222222221,0.010543819479439925,0.018029837763109402
KPC,0.12823982531744615,0.17736727359804866,0.11335440675105733,0.17736727359804866,0.1282008306761624,0.10837353004925959,0.1282008306761624,0.016518331247663432,7,5.378285748503801,9.954907660346759,0.6897104248954375,-0.7823842286633408,0.2134047498254299,66.66666666666666,0.009844545270348976,0.016518331247663443
KSV,0.01161165487672607,0.013393074151788694,0.013334967801887563,0.013430391164282377,0.012697389364819265,0.01258911426419644,0.012697389364819265,0.0,0,27.66317002571319,,0.32121518313477493,1.66982648466575,1.0942818932556806,100.0,0.0008499404042876302,0.0008327683087794302
